nama,website,sebab,detail,didiagnosa_pada
PT Grand Textile,http://www.grandtex.co.id,situs_mati,gagal: ConnectionError,2026-09-01 09:35:26
PT Perkebunan Nusantara IX,https://apnusantara.ptpnix.co.id,situs_mati,gagal: ConnectionError,2026-09-01 09:35:31
PT Warungjasa Teknologi,https://www.warungjasa.com,situs_mati,gagal: ConnectTimeout,2026-09-01 09:36:52
PT Widha,http://www.widha.co.id,situs_mati,gagal: ConnectionError,2026-09-01 09:36:54
PT. Nusantara Global Inovasi,https://nginovasi.com,situs_mati,gagal: ConnectTimeout,2026-09-01 09:38:16
PT. Tokopedia,https://tokopedia.com,situs_mati,gagal: ReadTimeout,2026-09-01 09:38:39
Perpetual Gifts,http://www.perpetualgifts.com,situs_mati,gagal: ConnectTimeout,2026-09-01 09:39:56
SB301 OFFICE,https://www.sb301.net,situs_mati,gagal: ConnectionError,2026-09-01 09:40:41
SOS Medika,http://sosmedika.id,situs_mati,gagal: ConnectionError,2026-09-01 09:40:44
Saku Sultan Basecamp,https://sakusultan.com,situs_mati,gagal: ConnectionError,2026-09-01 09:40:46
Semarang Resilience Office,https://www.100rcsemarang.org,situs_mati,gagal: ConnectionError,2026-09-01 09:40:48
Tata Niaga Intercontinent,https://tni.biz.id,situs_mati,gagal: ConnectionError,2026-09-01 09:41:08
