nama,website,sumber,catatan
Alfamart,https://alfamart.co.id,manual-belum-panen,"need 85, tel call-center"
TIKI,https://tiki.id,manual-belum-panen,"need 85, tel call-center"
Indomaret,https://indomaret.co.id,manual-belum-panen,"need 85, tanpa nomor"
Kopi Kenangan,https://kopikenangan.com,manual-belum-panen,"need 55, tanpa nomor"
PT Phapros Tbk,https://www.phapros.co.id,anak-kimia-farma,"farmasi, 250 jenis obat"
