nama,website,sumber,catatan
PT United Dico Citas,https://www.udc.co.id,antrian-2sep,need 80
"PT. Kimia Farma, Tbk.",https://www.kimiafarma.co.id,antrian-2sep,need 70
Nippon Paint,https://www.nipponpaint-indonesia.com,antrian-2sep,need 70
PT Pupuk Indonesia,https://www.pupuk-indonesia.com,antrian-2sep,need 65
