nama,website,sumber,catatan
PT. Erela,https://www.erela.co.id,tegak-2sep,need 100
PT. BERCA MANDIRI PERKASA,https://www.berca-mp.co.id,tegak-2sep,need 90
PT Bratasena Jaya,https://bj.co.id,tegak-2sep,need 85
PT. Chang Jui Fang Indonesia,https://cjfi.co.id,tegak-2sep,need 85
Abang Express - Pengiriman Internasional,https://abangexpress.co.id,tegak-2sep,need 65
PT Multi Guna Maritim,https://mgmaritim.com,tegak-2sep,need 60
PT Epson Indonesia,https://www.epson.co.id,tegak-2sep,need 55
PT Power Telecom,https://www.powertel.co.id,tegak-2sep,need 50
