nama,website,sumber,kategori,kota,osm_id
PT Arta Boga Cemerlang,https://www.artaboga.com/,osm,company,Denpasar,380087295
PT Borneo Megah Sejahtera,https://www.bmslh.com,osm,company,Surabaya,13245278478
PT Bratasena Jaya,https://bj.co.id/,osm,company,,521196635
PT Carsworld Digital Indonesia,https://carsworld.co.id/,osm,company,Tangerang,9763334043
PT Cinerent Indonesia,https://www.cinerent.net/,osm,company,,5181769122
PT Daya Transformatika,http://www.transformatika.co.id,osm,company,Depok,4111838797
PT Dirgantara Indonesia (Kantor Pusat),https://www.indonesian-aerospace.com/,osm,company,Bandung,26729382
PT Epson Indonesia,https://www.epson.co.id/,osm,company,,9831074432
PT Global Teknik Pasundan,https://globalteknikpasundan.com/,osm,consulting,,12998728261
PT Grand Textile,http://www.grandtex.co.id,osm,company,Bandung,4338426691
PT JASA KONSULTAN KEUANGAN,https://jasakonsultankeuangan.co.id/,osm,company,Bekasi,9029519331
PT MAKA (Makna Karya Angan Andanu),https://maka.id,osm,company,,502251513
PT Magna Perkasa,https://www.magnaperkasa.com,osm,company,,12417826926
PT Multi Areal Planing Indonesia (MAPID),https://mapid.co.id/,osm,company,Bandung,11968362246
PT Multi Guna Maritim,https://mgmaritim.com/,osm,company,,13354736293
PT Musim Mas,https://www.musimmas.com/,osm,company,Medan,331362689
PT Nindya Karya,https://www.nindyakarya.co.id/,osm,company,Denpasar,363142388
PT Pacificagung Trijaya,https://norxel.id,osm,it,Jakarta,13234216277
PT Perkebunan Nusantara IX,https://apnusantara.ptpnix.co.id/,osm,company,Semarang,560035978
PT Perumnas Iida Group,https://perumnas-iidagroup.co.id/,osm,company,Bekasi,13286464578
PT Power Telecom,https://www.powertel.co.id/,osm,it,Bandung,10604268161
PT Pupuk Indonesia,https://www.pupuk-indonesia.com/,osm,company,,156917691
PT Reycom Document Solusi,https://rds.co.id,osm,company,Semarang,13366164991
PT Solusi Untuk Semua,https://gadogado.id/,osm,company,,12280442798
PT Toyo Sensing Indonesia,https://toyosensing.com,osm,company,Bandung,12237909862
PT Trimanunggal Perkasindo,https://tpturbo.com,osm,company,,6001907233
PT United Dico Citas,https://udc.co.id/,osm,company,,485813821
PT Warungjasa Teknologi,https://www.warungjasa.com,osm,it,Jakarta,6773792324
PT Waskita Karya,https://www.waskita.co.id/,osm,company,Denpasar,363343430
PT Widha,http://www.widha.co.id,osm,company,Semarang,374684288
PT. ASIA MEGATAMA SEJAHTERA,https://asiamegatama.id/,osm,company,Tangerang,10289191832
PT. Adicipta Inovasi Teknologi,http://www.adins.id/,osm,company,,5804104553
PT. Applimetis Parama Solusi,https://applimetis.id,osm,company,Bekasi,10588068332
PT. BERCA MANDIRI PERKASA,https://www.berca-mp.co.id/,osm,company,Semarang,5215638922
PT. Bakti Mandiri Perkasa,https://www.pt-bmp.com/,osm,company,Surabaya,451533239
PT. Cahaya Bumi Amanah,https://cba-digitechno.com/,osm,company,Bandung,1126817540
PT. Chang Jui Fang Indonesia,https://cjfi.co.id/,osm,company,,13454782220
PT. Control Systems Arena Para Nusa,https://ptcs.co.id/,osm,company,,8226613414
PT. Dharma Satya Nusantara,https://www.dsn.co.id/,osm,company,,5589552522
PT. Erela,https://erela.co.id/,osm,company,Semarang,569907148
PT. Indo Rizki Pratama,https://www.3dmediaadv.com,osm,company,,1088259813
PT. Insatek Maju Bersama - Rep. Jakarta,https://insatek.id,osm,research,Jakarta,9677518665
PT. Kawasan Industri Medan (Persero),https://www.kim.co.id/,osm,company,Medan,970764126
"PT. Kimia Farma, Tbk.",https://www.kimiafarma.co.id,osm,company,,6252776089
PT. Kita Bagus Sejahtera,https://kitabagus.co.id,osm,company,Tangerang,12405022055
PT. Nusantara Global Inovasi,https://nginovasi.com/,osm,it,Semarang,340199505
PT. PLN Nusantara Power,https://www.plnnusantarapower.co.id/,osm,company,Surabaya,453651262
PT. PiEE Internasional,https://piee.co.id,osm,company,,12852267511
PT. Pratama Motivasi Mandiri,https://www.iproguard.com,osm,it,Bekasi,11951606514
PT. RUMAH LOGIC TEKNOLOGI,https://rumahlogic.com,osm,it,Jakarta,12353231828
PT. Tanjung Kreasi Parquet Industri,http://www.tekaparquet.com,osm,company,,5589552721
PT. Tokopedia,https://tokopedia.com/,osm,company,,6634884024
Pacific Express,https://pacific-bali.com/,osm,company,Denpasar,372807793
Pegadaian UPC Sukawati,https://www.pegadaian.co.id,osm,company,Denpasar,11651185808
Perpetual Gifts,http://www.perpetualgifts.com/,osm,company,,461838737
Pluto Publishing,https://bestgardenoutdoor.com,osm,company,,7755175406
Pro-Int Dinamika,https://pro-int.co.id,osm,company,,11399336504
R2plan,https://r2plan.com/,osm,company,Tangerang,2726530206
Rakyatku.com,https://rakyatku.com/,osm,company,Makassar,5449534822
Reksa Finance,https://www.reksafinance.co.id/,osm,financial,Tangerang,478700056
SB301 OFFICE,https://www.sb301.net/,osm,company,Surabaya,8483333038
SOS Medika,http://sosmedika.id,osm,company,,6951189588
Sahabat Laut Lestari,https://sahabatlautlestari.com,osm,it,Denpasar,10708188889
Saku Sultan Basecamp,https://sakusultan.com,osm,company,Makassar,611230752
Semarang Resilience Office,https://www.100rcsemarang.org,osm,company,Semarang,3870398984
Semidang Group,https://semidang.com,osm,company,,10097816854
Smart GPS Bandung,https://smartgps.co.id,osm,company,Bandung,124051793
Solar Surya Indotama,https://solarsuryaindotama.co.id,osm,company,,523618870
SolarTuff - Solar Water Heater,https://www.solartuff.co.id/,osm,company,Medan,10196304517
Stasiun Transmisi TV Indosiar Semarang,https://www.indosiar.com/,osm,telecommunication,Semarang,8417996318
Studio Paramuda Radio Bandung 93.7 FM (RAMA Group),http://www.paramudaradio.com,osm,company,Bandung,5884677085
Studio Radio Rama 104.7 FM Bandung,https://www.ramafm.com/,osm,company,Bandung,5883215585
Studio Ubud,http://studioubud.com,osm,company,,8907394181
TUKU Head Office,https://tuku.coffee/,osm,company,,502265616
Takaful Umum,https://www.takafulumum.co.id/,osm,insurance,Jakarta,7155243108
Tata Niaga Intercontinent,https://tni.biz.id,osm,company,Tangerang,10266515763
ThinkrCreative,http://thinkrcreative.com/,osm,company,,2701154177
Toko Balon,https://www.tukangbalon.com/,osm,company,,13569670966
TomTom,https://www.tomtom.com/,osm,company,,12585903978
TransTRACK.ID,https://transtrack.id,osm,company,,9662349548
Traveloka Campus,https://www.traveloka.com,osm,company,Tangerang,8951205689
Upperclicks,https://upperclicks.com/,osm,company,,12124297148
UrShipper,https://urshipper.com/,osm,company,Denpasar,10979980617
Vivnio - Platform Reseller Undangan Digital,https://vivnio.com,osm,company,Medan,636564425
WebHozz Bandung,https://www.webhozz.com/,osm,company,Bandung,9794395818
Webindoshop,https://webindoshop.com,osm,it,Bandung,11379409462
XL Axiata,https://xl.co.id/,osm,telecommunication,Medan,1017099756
XLSMART Telecom Sejahtera,https://www.smartfren.com/,osm,telecommunication,Tangerang,1451357604
Zurich,https://www.zurich.co.id/,osm,insurance,Tangerang,478700147
iziRoam,https://iziroam.com/,osm,company,,12280442797
